Hour,date,Topic,tweets,Male,MaleHate,FemaleHate
7.0,08-01-2021,5,5.0,2.0,0.0,0.0
2.0,08-01-2021,2,10.0,6.0,1.0,0.0
2.0,08-01-2021,1,5.0,2.0,0.0,0.0
2.0,08-01-2021,0,21.0,11.0,2.0,1.0
7.0,08-01-2021,0,22.0,13.0,3.0,2.0
7.0,08-01-2021,1,6.0,4.0,1.0,0.0
7.0,08-01-2021,4,16.0,9.0,2.0,1.0
6.0,08-01-2021,2,5.0,3.0,1.0,0.0
0.0,08-01-2021,5,3.0,2.0,0.0,0.0
0.0,08-01-2021,4,6.0,4.0,1.0,0.0
0.0,08-01-2021,1,4.0,3.0,0.0,0.0
0.0,08-01-2021,0,11.0,7.0,1.0,1.0
21.0,08-01-2021,0,7.0,3.0,0.0,0.0
21.0,08-01-2021,1,2.0,2.0,1.0,0.0
21.0,08-01-2021,4,6.0,3.0,0.0,0.0
1.0,08-01-2021,0,17.0,10.0,2.0,1.0
2.0,08-01-2021,4,11.0,7.0,2.0,1.0
2.0,08-01-2021,5,10.0,6.0,0.0,0.0
19.0,08-01-2021,0,4.0,3.0,1.0,0.0
19.0,08-01-2021,1,2.0,2.0,1.0,0.0
8.0,08-01-2021,4,11.0,7.0,1.0,1.0
8.0,08-01-2021,5,3.0,1.0,1.0,0.0
11.0,08-01-2021,0,33.0,18.0,2.0,2.0
11.0,08-01-2021,1,25.0,14.0,3.0,2.0
11.0,08-01-2021,4,21.0,11.0,1.0,1.0
11.0,08-01-2021,5,8.0,5.0,0.0,0.0
23.0,08-01-2021,0,12.0,7.0,2.0,1.0
1.0,08-01-2021,1,1.0,1.0,1.0,0.0
23.0,08-01-2021,1,2.0,2.0,1.0,0.0
23.0,08-01-2021,5,4.0,2.0,0.0,0.0
20.0,08-01-2021,0,3.0,2.0,0.0,0.0
20.0,08-01-2021,1,1.0,0.0,1.0,0.0
20.0,08-01-2021,4,2.0,2.0,1.0,0.0
20.0,08-01-2021,5,0.0,1.0,0.0,0.0
19.0,08-01-2021,5,1.0,1.0,0.0,0.0
19.0,08-01-2021,4,2.0,1.0,1.0,0.0
23.0,08-01-2021,4,8.0,5.0,1.0,0.0
1.0,08-01-2021,2,5.0,3.0,0.0,0.0
1.0,08-01-2021,4,11.0,6.0,0.0,0.0
1.0,08-01-2021,5,5.0,3.0,1.0,0.0
4.0,08-01-2021,4,10.0,5.0,0.0,0.0
10.0,08-01-2021,1,42.0,23.0,3.0,3.0
4.0,08-01-2021,3,5.0,2.0,0.0,0.0
4.0,08-01-2021,2,5.0,2.0,1.0,0.0
